Table S1: Mixture design detail of Alkali-activated concrete corresponding to the compressive strength and slump flow rate under different curing conditions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fly Ash type,Si02 ,Al2O3,Cao,MnO ,MgO,Na2O,K2O,TiO2,P205,Amorphous Content,W/FA,Alk/FA,Fly Ash,Sodium Silicate,Sodium Hydroxide,Water,Slump Flow,Water Percentage in Solution,CS (oven),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unitless,%,%,%,%,%,%,%,%,%,%,Unitless,Unitless,kg. m-3,kg. m-3,kg. m-3,kg. m-3,Inch,%,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,0.00,44.06700791,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.55,0.25,304.00,38.10,38.10,129.90,12.00,63.02765648,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.43,0.25,400.00,50.00,50.00,120.50,12.00,54.64852608,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.35,0.30,400.00,60.10,60.10,74.60,0.00,38.29568789,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.45,0.30,400.00,60.10,60.10,114.50,8.50,48.78568385,21.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.50,0.30,400.00,60.10,60.10,134.60,7.00,52.82574568,16.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.43,0.30,400.00,60.10,60.10,104.40,7.50,46.4826358,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,0.00,44.06700791,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.38,0.28,400.00,54.90,54.90,91.00,0.00,45.3187251,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.28,400.00,54.90,54.90,100.90,8.00,47.88799241,27.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.39,0.25,400.00,50.00,50.00,103.20,8.20,50.78740157,22.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.43,0.30,469.00,70.50,70.50,120.50,0.00,46.08030593,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.45,0.30,450.00,67.40,67.40,127.00,11.00,48.51031322,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.43,0.30,450.00,67.40,67.40,116.00,6.50,46.25199362,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.43,0.30,400.00,60.10,60.10,104.60,8.25,46.53024911,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,0.50,44.06700791,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,4.50,44.06700791,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,2.50,44.06700791,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,6.25,44.06700791,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,450.00,67.40,67.40,104.90,9.25,43.76303713,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,8.25,44.06700791,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.38,0.30,450.00,67.40,67.40,96.00,5.25,41.59445407,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.35,0.30,450.00,67.40,67.40,82.80,4.00,38.05147059,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.38,0.30,400.00,60.10,60.10,86.80,3.75,41.93236715,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.40,0.30,400.00,60.10,60.10,94.70,8.75,44.06700791,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.36,0.30,400.00,60.10,60.10,78.80,1.75,39.59798995,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.38,0.30,450.00,67.40,67.40,96.00,7.00,41.59445407,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.38,0.30,400.00,60.10,60.10,86.80,4.50,41.93236715,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.38,0.30,450.00,67.40,67.40,96.10,7.00,41.61974881,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.30,0.25,400.00,50.00,50.00,67.40,2.10,40.26284349,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.32,0.25,400.00,50.00,50.00,75.40,7.50,42.98745724,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.34,0.25,400.00,50.00,50.00,83.30,8.25,45.4446263,33.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.30,0.20,400.00,40.00,40.00,79.90,5.50,49.96873046,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.38,0.30,450.00,67.40,67.40,87.10,7.50,39.25191528,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.36,0.30,450.00,67.40,67.40,87.10,6.00,39.25191528,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.36,0.30,450.00,67.40,67.40,1.10,2.25,0.80941869,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.38,0.30,450.00,67.40,67.40,96.00,3.00,41.59445407,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.34,0.30,450.00,67.40,67.40,78.30,3.10,36.743313,34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.40,0.30,450.00,67.40,67.40,104.90,9.50,43.76303713,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.38,0.35,450.00,78.80,78.80,82.20,0.50,34.27856547,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.38,0.30,450.00,67.40,67.40,96.00,3.00,41.59445407,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.38,0.30,450.00,67.40,67.40,96.00,2.00,41.59445407,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.42,0.35,450.00,78.80,78.80,100.00,5.63,38.81987578,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.40,0.30,450.00,67.40,67.40,104.90,8.50,43.76303713,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.45,0.40,450.00,90.00,90.00,99.50,1.00,35.59928444,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.40,0.35,450.00,78.80,78.80,91.10,3.75,36.63047849,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.45,0.35,450.00,78.80,78.80,113.40,9.25,41.84501845,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,38.00,18.70,27.10,0.02,7.40,1.22,0.47,1.40,0.80,NA,0.35,0.30,450.00,67.40,67.40,82.80,9.00,38.05147059,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
